,Fold,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,subject_id
335,4,1.0,1.0,1.0,101
336,1,0.8333,0.8333,0.8333,102
337,2,0.9167,1.0,0.8333,102
338,3,0.7273,0.4,1.0,102
339,4,0.8,0.6,1.0,102
340,1,0.8333,0.8333,0.8333,103
341,2,0.75,0.8333,0.6667,103
342,3,0.7273,0.8,0.6667,103
343,4,0.8,0.8,0.8,103
344,1,0.9167,1.0,0.8333,105
345,2,1.0,1.0,1.0,105
346,3,0.9091,0.8333,1.0,105
347,4,0.9,0.8,1.0,105
348,1,0.75,0.6667,0.8333,107
349,2,0.8182,0.6667,1.0,107
350,3,0.7273,0.6667,0.8,107
351,4,0.8182,1.0,0.6,107
352,1,0.8333,0.6667,1.0,108
353,2,0.75,1.0,0.5,108
354,3,1.0,1.0,1.0,108
355,4,0.9,1.0,0.8,108
356,1,0.5,0.6667,0.3333,109
357,2,0.8333,0.6667,1.0,109
358,3,0.6364,0.5,0.8,109
359,4,0.6,0.6,0.6,109
360,1,0.6667,0.5,0.8333,84
361,2,0.8333,0.8333,0.8333,84
362,3,0.9091,1.0,0.8,84
363,4,0.7,0.4,1.0,84
364,1,0.8333,0.6667,1.0,85
365,2,0.9167,1.0,0.8333,85
366,3,0.9091,1.0,0.8,85
367,4,0.9,0.8,1.0,85
368,1,0.9167,1.0,0.8333,86
369,2,1.0,1.0,1.0,86
370,3,0.9091,0.8,1.0,86
371,4,1.0,1.0,1.0,86
372,1,0.4167,0.3333,0.5,87
373,2,0.6667,0.6667,0.6667,87
374,3,0.5455,0.6,0.5,87
375,4,0.6,0.8,0.4,87
376,1,0.9167,1.0,0.8333,90
377,2,1.0,1.0,1.0,90
378,3,1.0,1.0,1.0,90
379,4,1.0,1.0,1.0,90
380,1,0.9167,0.8333,1.0,91
381,2,0.6667,0.5,0.8333,91
382,3,0.9091,1.0,0.8333,91
383,4,0.8,1.0,0.6,91
384,1,0.4167,0.5,0.3333,93
385,2,0.75,0.6667,0.8333,93
386,3,0.7273,0.8333,0.6,93
387,4,0.8,0.8,0.8,93
388,1,0.6667,0.8333,0.5,94
389,2,0.75,0.8333,0.6667,94
390,3,0.7273,1.0,0.5,94
391,4,0.7,1.0,0.4,94
392,1,0.75,0.6667,0.8333,95
393,2,0.6667,0.6667,0.6667,95
394,3,0.8182,0.8333,0.8,95
395,4,0.9,0.8,1.0,95
396,1,1.0,1.0,1.0,96
397,2,1.0,1.0,1.0,96
398,3,0.9091,0.8333,1.0,96
399,4,1.0,1.0,1.0,96
400,1,0.75,0.8333,0.6667,97
401,2,0.9167,1.0,0.8333,97
402,3,0.9091,0.8333,1.0,97
403,4,0.9,0.8,1.0,97
404,1,0.75,0.8333,0.6667,98
405,2,0.5833,0.5,0.6667,98
406,3,0.9091,1.0,0.8,98
407,4,0.7,0.6,0.8,98
408,1,0.9167,0.8333,1.0,99
409,2,0.9167,1.0,0.8333,99
410,3,0.7273,0.6,0.8333,99
411,4,0.6,0.8,0.4,99
