,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
197,7,0.93145,0.0462071062355853,fc1,0.0002,0.025,0.97727275,0.0454545,0.04582275
198,7,0.93145,0.0462071062355853,fc1,0.0004,0.025,0.97727275,0.0454545,0.04582275
199,7,0.93145,0.0462071062355853,fc1,0.0006,0.025,0.97727275,0.0454545,0.04582275
200,7,0.93145,0.0462071062355853,fc1fc2,0.0001,0.025,0.97727275,0.0454545,0.04582275
201,7,0.93145,0.0462071062355853,fc1fc2,0.0002,0.025,0.97727275,0.0454545,0.04582275
202,7,0.93145,0.0462071062355853,fc1fc2,0.0004,0.025,0.97727275,0.0454545,0.04582275
203,7,0.93145,0.0462071062355853,fc1fc2,0.0006,0.025,0.97727275,0.0454545,0.04582275
204,7,0.93145,0.0462071062355853,fc2,0.0001,0.025,0.97727275,0.0454545,0.04582275
205,7,0.93145,0.0462071062355853,fc2,0.0002,0.025,0.97727275,0.0454545,0.04582275
206,7,0.93145,0.0462071062355853,fc2,0.0004,0.025,0.97727275,0.0454545,0.04582275
207,7,0.93145,0.0462071062355853,fc2,0.0006,0.025,0.97727275,0.0454545,0.04582275
208,7,0.93145,0.0462071062355853,r1,0.0001,0.025,0.95227275,0.0552355100478849,0.02082275
209,7,0.93145,0.0462071062355853,r1,0.0002,0.025,0.97727275,0.0454545,0.04582275
210,7,0.93145,0.0462071062355853,r1,0.0004,0.025,0.95227275,0.0552355100478849,0.02082275
211,7,0.93145,0.0462071062355853,r1,0.0006,0.025,0.95227275,0.0552355100478849,0.02082275
212,7,0.93145,0.0462071062355853,r1fc1fc2,0.0001,0.025,0.9314395,0.0462120710384923,-1.050000000002438e-05
213,7,0.93145,0.0462071062355853,r1fc1fc2,0.0002,0.025,0.95227275,0.0552355100478849,0.02082275
214,7,0.93145,0.0462071062355853,r1fc1fc2,0.0004,0.025,0.95227275,0.0552355100478849,0.02082275
215,7,0.93145,0.0462071062355853,r1fc1fc2,0.0006,0.025,0.95227275,0.0552355100478849,0.02082275
228,8,0.6485,0.1020542012853953,fc1,0.0001,0.025,0.68598475,0.1173981620763999,0.03748475
229,8,0.6485,0.1020542012853953,fc1,0.0002,0.025,0.708712,0.1354649611843102,0.060212
230,8,0.6485,0.1020542012853953,fc1,0.0004,0.025,0.7295455,0.1145484127941835,0.0810454999999999
231,8,0.6485,0.1020542012853953,fc1,0.0006,0.025,0.70871225,0.0953492891299317,0.06021225
232,8,0.6485,0.1020542012853953,fc1fc2,0.0001,0.025,0.68598475,0.1173981620763999,0.03748475
233,8,0.6485,0.1020542012853953,fc1fc2,0.0002,0.025,0.68787875,0.1147322610933094,0.03937875
234,8,0.6485,0.1020542012853953,fc1fc2,0.0004,0.025,0.70871225,0.0953492891299317,0.06021225
235,8,0.6485,0.1020542012853953,fc1fc2,0.0006,0.025,0.70871225,0.0953492891299317,0.06021225
236,8,0.6485,0.1020542012853953,fc2,0.0001,0.025,0.68598475,0.1173981620763999,0.03748475
237,8,0.6485,0.1020542012853953,fc2,0.0002,0.025,0.68598475,0.1173981620763999,0.03748475
238,8,0.6485,0.1020542012853953,fc2,0.0004,0.025,0.68598475,0.1173981620763999,0.03748475
239,8,0.6485,0.1020542012853953,fc2,0.0006,0.025,0.6651515,0.0856296942440724,0.0166515
240,8,0.6485,0.1020542012853953,r1,0.0001,0.025,0.7109847499999999,0.1027132503246294,0.0624847499999999
241,8,0.6485,0.1020542012853953,r1,0.0002,0.025,0.70871225,0.0953492891299317,0.06021225
242,8,0.6485,0.1020542012853953,r1,0.0004,0.025,0.7295455,0.1145484127941835,0.0810454999999999
243,8,0.6485,0.1020542012853953,r1,0.0006,0.025,0.7295455,0.1145484127941835,0.0810454999999999
244,8,0.6485,0.1020542012853953,r1fc1fc2,0.0001,0.025,0.68598475,0.1173981620763999,0.03748475
245,8,0.6485,0.1020542012853953,r1fc1fc2,0.0002,0.025,0.75037875,0.1066030021571469,0.10187875
246,8,0.6485,0.1020542012853953,r1fc1fc2,0.0004,0.025,0.750379,0.1436088302043668,0.101879
247,8,0.6485,0.1020542012853953,r1fc1fc2,0.0006,0.025,0.70681825,0.0990734410673045,0.05831825
260,9,0.86365,0.0908999999999999,fc1,0.0001,0.025,0.8636364999999999,0.090909,-1.3500000000110646e-05
261,9,0.86365,0.0908999999999999,fc1,0.0002,0.025,0.88825775,0.0468534766933042,0.0246077499999999
262,9,0.86365,0.0908999999999999,fc1,0.0004,0.025,0.909091,0.0742268876755586,0.0454409999999999
263,9,0.86365,0.0908999999999999,fc1,0.0006,0.025,0.909091,0.0742268876755586,0.0454409999999999
264,9,0.86365,0.0908999999999999,fc1fc2,0.0001,0.025,0.8655305,0.0547607514466337,0.0018804999999999
265,9,0.86365,0.0908999999999999,fc1fc2,0.0002,0.025,0.88825775,0.0468534766933042,0.0246077499999999
266,9,0.86365,0.0908999999999999,fc1fc2,0.0004,0.025,0.909091,0.0742268876755586,0.0454409999999999
267,9,0.86365,0.0908999999999999,fc1fc2,0.0006,0.025,0.909091,0.0742268876755586,0.0454409999999999
268,9,0.86365,0.0908999999999999,fc2,0.0001,0.025,0.8636364999999999,0.090909,-1.3500000000110646e-05
269,9,0.86365,0.0908999999999999,fc2,0.0002,0.025,0.88636375,0.0870387409390209,0.0227137499999999
270,9,0.86365,0.0908999999999999,fc2,0.0004,0.025,0.909091,0.0742268876755586,0.0454409999999999
271,9,0.86365,0.0908999999999999,fc2,0.0006,0.025,0.909091,0.0742268876755586,0.0454409999999999
272,9,0.86365,0.0908999999999999,r1,0.0001,0.025,0.8636364999999999,0.090909,-1.3500000000110646e-05
273,9,0.86365,0.0908999999999999,r1,0.0002,0.025,0.93371225,0.0443359081360695,0.0700622499999999
274,9,0.86365,0.0908999999999999,r1,0.0004,0.025,0.88825775,0.0468534766933042,0.0246077499999999
275,9,0.86365,0.0908999999999999,r1,0.0006,0.025,0.909091,0.0742268876755586,0.0454409999999999
276,9,0.86365,0.0908999999999999,r1fc1fc2,0.0001,0.025,0.8655305,0.0547607514466337,0.0018804999999999
277,9,0.86365,0.0908999999999999,r1fc1fc2,0.0002,0.025,0.93371225,0.0443359081360695,0.0700622499999999
278,9,0.86365,0.0908999999999999,r1fc1fc2,0.0004,0.025,0.910985,0.003788,0.0473349999999999
279,9,0.86365,0.0908999999999999,r1fc1fc2,0.0006,0.025,0.910985,0.003788,0.0473349999999999
292,10,0.661,0.1908184652141051,fc1,0.0001,0.025,0.64393975,0.0757574999999999,-0.01706025
293,10,0.661,0.1908184652141051,fc1,0.0002,0.025,0.68939425,0.0454544999999999,0.0283942499999999
294,10,0.661,0.1908184652141051,fc1,0.0004,0.025,0.73295475,0.0750916772102607,0.0719547499999999
295,10,0.661,0.1908184652141051,fc1,0.0006,0.025,0.79734875,0.1385037613072295,0.13634875
296,10,0.661,0.1908184652141051,fc1fc2,0.0001,0.025,0.64393975,0.0757574999999999,-0.01706025
297,10,0.661,0.1908184652141051,fc1fc2,0.0002,0.025,0.7102275,0.0503943334413701,0.0492274999999999
298,10,0.661,0.1908184652141051,fc1fc2,0.0004,0.025,0.753788,0.0912239648009227,0.0927879999999999
299,10,0.661,0.1908184652141051,fc1fc2,0.0006,0.025,0.7746215,0.1203210399847009,0.1136214999999999
300,10,0.661,0.1908184652141051,fc2,0.0001,0.025,0.64393975,0.0757574999999999,-0.01706025
301,10,0.661,0.1908184652141051,fc2,0.0002,0.025,0.62310625,0.0788206990215767,-0.03789375
302,10,0.661,0.1908184652141051,fc2,0.0004,0.025,0.62500025,0.1195434928979825,-0.03599975
303,10,0.661,0.1908184652141051,fc2,0.0006,0.025,0.7102275,0.0897174436606393,0.0492274999999999
304,10,0.661,0.1908184652141051,r1,0.0001,0.025,0.62310625,0.0788206990215767,-0.03789375
305,10,0.661,0.1908184652141051,r1,0.0002,0.025,0.6458335,0.0597719207236976,-0.0151665
306,10,0.661,0.1908184652141051,r1,0.0004,0.025,0.77651525,0.0571954926567644,0.1155152499999999
307,10,0.661,0.1908184652141051,r1,0.0006,0.025,0.7992425,0.0886718162721391,0.1382424999999999
308,10,0.661,0.1908184652141051,r1fc1fc2,0.0001,0.025,0.64393975,0.0757574999999999,-0.01706025
309,10,0.661,0.1908184652141051,r1fc1fc2,0.0002,0.025,0.7121215,0.0303029999999999,0.0511214999999999
310,10,0.661,0.1908184652141051,r1fc1fc2,0.0004,0.025,0.693182,0.2268935382200207,0.0321819999999999
311,10,0.661,0.1908184652141051,r1fc1fc2,0.0006,0.025,0.6231059999999999,0.1508035395141639,-0.037894
324,11,0.71325,0.1221071796960905,fc1,0.0001,0.025,0.7113637500000001,0.1130893713967703,-0.0018862499999999
325,11,0.71325,0.1221071796960905,fc1,0.0002,0.025,0.669697,0.1242608260582017,-0.043553
326,11,0.71325,0.1221071796960905,fc1,0.0004,0.025,0.6507575,0.1025875610539601,-0.0624925
327,11,0.71325,0.1221071796960905,fc1,0.0006,0.025,0.67348475,0.1082496503100587,-0.03976525
328,11,0.71325,0.1221071796960905,fc1fc2,0.0001,0.025,0.6905305,0.1112602956928781,-0.0227195
329,11,0.71325,0.1221071796960905,fc1fc2,0.0002,0.025,0.6488637500000001,0.112763425729489,-0.0643862499999999
330,11,0.71325,0.1221071796960905,fc1fc2,0.0004,0.025,0.69431825,0.091900245147932,-0.01893175
